episode,service_level,bias,squared_starvation_penalty,squared_congestion_penalty,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
0,0.8985220352631313,-2.5555768647625947,-0.013486298526293104,-0.004527537830046245,0.01,0.01,0.0,0.97,100,12,1,13
1,0.908943497158141,-2.603765711885274,-0.025046615264574468,-0.008268605172865392,0.009708,0.01,0.0,0.97,100,12,1,13
2,0.9021391359699817,-2.6542411418532454,-0.037264541181083785,-0.012367824009502731,0.009432,0.01,0.0,0.97,100,11,1,12
3,0.9062960482250503,-2.694945216975378,-0.04788880631818041,-0.01642519603535242,0.009172,0.01,0.0,0.97,100,12,1,13
4,0.9033070448671218,-2.74290102087104,-0.05948390342634227,-0.020327404120924476,0.008925,0.01,0.0,0.97,100,12,1,13
5,0.9134874533371278,-2.783144258741827,-0.06895572117835938,-0.0237793848425895,0.008692,0.01,0.0,0.97,100,12,0,12
6,0.9119498961752295,-2.8239398444730646,-0.07873921729658963,-0.027418761327087735,0.00847,0.01,0.0,0.97,100,12,1,13
7,0.9079721865568358,-2.8648842627699502,-0.08848193560791628,-0.03087959739960264,0.00826,0.01,0.0,0.97,100,12,1,13
8,0.9149928750763385,-2.899905764937989,-0.09685684702027557,-0.0336880712468638,0.008059,0.01,0.0,0.97,100,12,1,13
9,0.9164243819639346,-2.929647696049585,-0.10392349749054759,-0.03619624084101275,0.007868,0.01,0.0,0.97,100,12,1,13
10,0.8932334111874717,-2.9740417524013893,-0.11509436370022474,-0.039989610808159326,0.007686,0.01,0.0,0.97,100,12,0,12
11,0.9026897004154821,-3.0144193616268544,-0.1247145802936981,-0.04361341312681075,0.007513,0.01,0.0,0.97,100,12,1,13
12,0.9150921114785073,-3.047236615862648,-0.1324990866034435,-0.0465070264729966,0.007346,0.01,0.0,0.97,100,12,1,13
13,0.9123907195696033,-3.0810187670747013,-0.14036272233745886,-0.04940726226107227,0.007188,0.01,0.0,0.97,100,12,1,13
14,0.9129455346415699,-3.1096734696503927,-0.1475767853738036,-0.052015963000991004,0.007035,0.01,0.0,0.97,100,12,1,13
15,0.9142780380501402,-3.1409676440393075,-0.1551924440499874,-0.05452541267166532,0.006889,0.01,0.0,0.97,100,12,1,13
16,0.9058163368166392,-3.1760085518985632,-0.16368484959140112,-0.057467442105011736,0.006749,0.01,0.0,0.97,100,12,1,13
17,0.9111133651147851,-3.2065568784820515,-0.17099714394311358,-0.06008042511676521,0.006615,0.01,0.0,0.97,100,12,1,13
18,0.9057774072530221,-3.2394179923411093,-0.17895184709081677,-0.06268929099632276,0.006486,0.01,0.0,0.97,100,12,1,13
19,0.9078031049359649,-3.270096115589361,-0.1863481102527768,-0.06530801861002938,0.006362,0.01,0.0,0.97,100,11,1,12
20,0.9067949488875526,-3.3010797084702457,-0.1936175895395652,-0.06791139249580404,0.006242,0.01,0.0,0.97,100,12,1,13
21,0.906457361052185,-3.3292900381407238,-0.20069573285321224,-0.07023017991773557,0.006127,0.01,0.0,0.97,100,12,1,13
22,0.9102761248913552,-3.3572832214222488,-0.2073541257921572,-0.07264918381270102,0.006016,0.01,0.0,0.97,100,12,1,13
23,0.9110081697970185,-3.3848656912158126,-0.21391438554371334,-0.0750600896924463,0.005909,0.01,0.0,0.97,100,12,1,13
24,0.9084570325500898,-3.4132489772293977,-0.22039017281943035,-0.07759375248891992,0.005806,0.01,0.0,0.97,100,12,1,13
25,0.9068767908309455,-3.4413741544607155,-0.22713328331575888,-0.07990586071093407,0.005706,0.01,0.0,0.97,100,12,1,13
26,0.9013406090002695,-3.4702897408405904,-0.2343992932519076,-0.08226111570753225,0.00561,0.01,0.0,0.97,100,12,1,13
27,0.90868956785393,-3.496633453704996,-0.24070552502030357,-0.08454173926484342,0.005517,0.01,0.0,0.97,100,12,1,13
28,0.9142987004242139,-3.5208070268129155,-0.24656863482312463,-0.0865404460230229,0.005426,0.01,0.0,0.97,100,11,1,12
29,0.9100540612917803,-3.5461881834804796,-0.2525745429780182,-0.08877970912956809,0.005339,0.01,0.0,0.97,100,12,1,13
30,0.9095154005501409,-3.570860562751325,-0.25836822880809296,-0.09097946757413207,0.005255,0.01,0.0,0.97,100,12,1,13
31,0.9079074008408895,-3.595402828490572,-0.26402288183827455,-0.09310791435641838,0.005173,0.01,0.0,0.97,100,12,1,13
32,0.9050760398831705,-3.6209780625527763,-0.27035833393612885,-0.09516801073295227,0.005094,0.01,0.0,0.97,100,12,1,13
33,0.903844199830652,-3.6452695157126227,-0.276362839446172,-0.0972283882402824,0.005017,0.01,0.0,0.97,100,12,1,13
34,0.9090514507028146,-3.669101433118933,-0.28202566244326716,-0.09924276303692922,0.004942,0.01,0.0,0.97,100,12,1,13
35,0.9030947382677592,-3.6942676211587124,-0.28782241513362183,-0.10142167074357492,0.00487,0.01,0.0,0.97,100,12,1,13
36,0.9057679975699484,-3.7178638951195206,-0.29356217344624974,-0.10328007083286939,0.004799,0.01,0.0,0.97,100,11,1,12
37,0.9141312846313356,-3.735968228775922,-0.2980262620157543,-0.10486756274135559,0.004731,0.01,0.0,0.97,100,12,1,13
38,0.9103067525842395,-3.7570777411163983,-0.3029749427454261,-0.10669497382796551,0.004665,0.01,0.0,0.97,100,12,1,13
39,0.9072510949640047,-3.779845357888354,-0.30853108835655896,-0.10870313350889026,0.0046,0.01,0.0,0.97,100,12,1,13
40,0.9044213263979194,-3.8029236551904826,-0.31392974414048636,-0.11073766099575504,0.004537,0.01,0.0,0.97,100,12,1,13
41,0.9081421729266448,-3.825612112967931,-0.3193055106134799,-0.11248525510716545,0.004476,0.01,0.0,0.97,100,12,1,13
42,0.9119457818187918,-3.8455216063301316,-0.32412249878125715,-0.11418688171841365,0.004417,0.01,0.0,0.97,100,12,1,13
43,0.9045004575326512,-3.8678354223029743,-0.3297654251770587,-0.11600328756894475,0.004359,0.01,0.0,0.97,100,12,1,13
44,0.9022229678718229,-3.8900812432777805,-0.3353303322599596,-0.11767921986019235,0.004302,0.01,0.0,0.97,100,12,1,13
45,0.9094091314518437,-3.9098698381214674,-0.34020058117596697,-0.11934964240810482,0.004247,0.01,0.0,0.97,100,11,1,12
46,0.9179725512566692,-3.9229768232657696,-0.3435873436195889,-0.12044707272020935,0.004194,0.01,0.0,0.97,100,12,1,13
47,0.9009077028908911,-3.9443828314409837,-0.3487647377970139,-0.12219252027152379,0.004141,0.01,0.0,0.97,100,12,1,13
48,0.9034408244680852,-3.964783987552893,-0.35382681631325685,-0.12386211477100502,0.00409,0.01,0.0,0.97,100,12,1,13
49,0.9069360269360269,-3.984301842163985,-0.3585318921772747,-0.12552611266468133,0.004041,0.01,0.0,0.97,100,12,1,13
50,0.9099555481003103,-4.002827656060388,-0.3629167508815705,-0.1271646984600145,0.003992,0.01,0.0,0.97,100,12,1,13
51,0.9075252525252525,-4.021454563658148,-0.36725669233488123,-0.1288050052315956,0.003945,0.01,0.0,0.97,100,12,1,13
52,0.9107071045576407,-4.0387011616285875,-0.3713415818969876,-0.13029346552055893,0.003898,0.01,0.0,0.97,100,12,1,13
53,0.903720205691697,-4.058369983294665,-0.3761037785074788,-0.13187428557323896,0.003853,0.01,0.0,0.97,100,12,1,13
54,0.9078479398738424,-4.076617772849979,-0.38059619114499466,-0.1333210331750966,0.003809,0.01,0.0,0.97,100,12,1,13
55,0.8993751779821432,-4.096406191671256,-0.38526957827039027,-0.1348563725973653,0.003766,0.01,0.0,0.97,100,12,1,13
56,0.9152999023338834,-4.112405735924137,-0.3890919615912139,-0.13617839723745445,0.003724,0.01,0.0,0.97,100,12,1,13
57,0.9098916216488273,-4.127356022676188,-0.39273395620389817,-0.13747967505432213,0.003682,0.01,0.0,0.97,100,12,1,13
58,0.9087162753145395,-4.144510960021374,-0.3968327469858642,-0.1390116460365923,0.003642,0.01,0.0,0.97,100,12,1,13
59,0.9091446224488073,-4.160568150845575,-0.4007352900446747,-0.1403449444760824,0.003602,0.01,0.0,0.97,100,12,1,13
60,0.909879298103256,-4.177061220020102,-0.4048153190769843,-0.14159453873426345,0.003564,0.01,0.0,0.97,100,12,1,13
61,0.916206261510129,-4.191918277672694,-0.4083540858748614,-0.14295363775278644,0.003526,0.01,0.0,0.97,100,12,1,13
62,0.9121774329566538,-4.206199126504644,-0.41186016326838365,-0.14402910574585212,0.003489,0.01,0.0,0.97,100,12,1,13
63,0.9002058818606364,-4.22399557505468,-0.4162789169083902,-0.14553113104070478,0.003453,0.01,0.0,0.97,100,12,1,13
64,0.9119073906788451,-4.236823313232829,-0.4196154693468842,-0.14663738120435085,0.003417,0.01,0.0,0.97,100,12,1,13
65,0.9111866460254425,-4.2497837825041636,-0.422846342543927,-0.1478475571172803,0.003382,0.01,0.0,0.97,100,12,1,13
66,0.9033844810798106,-4.266513535115871,-0.4268798367832867,-0.14928154871437602,0.003348,0.01,0.0,0.97,100,12,1,13
67,0.9075498431332861,-4.281409815550698,-0.4306355147563846,-0.150579965440617,0.003315,0.01,0.0,0.97,100,12,1,13
68,0.9034504696053975,-4.297951966998304,-0.4346709052409543,-0.15188196944381446,0.003282,0.01,0.0,0.97,100,12,1,13
69,0.9079073201013372,-4.313345220943552,-0.4385035650160605,-0.15316781652184802,0.00325,0.01,0.0,0.97,100,12,1,13
70,0.9042434864673565,-4.329016182303858,-0.44240201676950125,-0.154397023763938,0.003219,0.01,0.0,0.97,100,12,1,13
71,0.9058610999598555,-4.3449304026755975,-0.44621360525220366,-0.15570218902569777,0.003188,0.01,0.0,0.97,100,12,1,13
72,0.905644877361812,-4.357729174596741,-0.44951784344353785,-0.1566535209567135,0.003157,0.01,0.0,0.97,100,12,1,13
73,0.9072750316856781,-4.37220539701884,-0.45303889438404804,-0.15787429900838965,0.003128,0.01,0.0,0.97,100,12,1,13
74,0.9116009085555649,-4.385557130306099,-0.456326901260762,-0.1589595958833448,0.003098,0.01,0.0,0.97,100,12,1,13
75,0.9045505181784425,-4.40054935097681,-0.4599560012826628,-0.1601535347244008,0.00307,0.01,0.0,0.97,100,12,1,13
76,0.9085816187480023,-4.4144466378487355,-0.46335064172790696,-0.16131587888124901,0.003042,0.01,0.0,0.97,100,12,1,13
77,0.90960216273947,-4.428403049453292,-0.4667554415690516,-0.16257229738537932,0.003014,0.01,0.0,0.97,100,11,1,12
78,0.9080629714880962,-4.442050225875541,-0.47011236932664174,-0.16369993097032867,0.002987,0.01,0.0,0.97,100,12,1,13
79,0.9118596825181006,-4.455199570663486,-0.473240765496518,-0.16470478165580726,0.00296,0.01,0.0,0.97,100,12,1,13
80,0.908727425451491,-4.468821946889331,-0.47657286053704734,-0.1657172747953018,0.002934,0.01,0.0,0.97,100,12,1,13
81,0.9106987338380117,-4.482133708746852,-0.4797401036629928,-0.16679327758047763,0.002909,0.01,0.0,0.97,100,12,1,13
82,0.9150884530414692,-4.493974651776639,-0.4825997611510943,-0.16771731136089418,0.002883,0.01,0.0,0.97,100,12,1,13
83,0.9081880047486081,-4.507252281379737,-0.48587615113918786,-0.1688009739117687,0.002859,0.01,0.0,0.97,100,12,1,13
84,0.9109496366825357,-4.520106949381387,-0.4889474447655896,-0.16985055227432308,0.002834,0.01,0.0,0.97,100,11,1,12
85,0.9004427405811606,-4.5330283407359415,-0.4921562225732402,-0.17100384379401926,0.00281,0.01,0.0,0.97,100,12,1,13
86,0.9095122489516663,-4.5449273531748275,-0.4951794313952792,-0.17199082623619316,0.002787,0.01,0.0,0.97,100,12,1,13
87,0.9059255145487286,-4.558233050963301,-0.4984586103854455,-0.17327356547227835,0.002763,0.01,0.0,0.97,100,12,1,13
88,0.9098621243557995,-4.570774905584444,-0.5014551922861085,-0.1742517269687455,0.002741,0.01,0.0,0.97,100,11,1,12
89,0.9011467851171274,-4.584412418258087,-0.5047237742172712,-0.17544760684123334,0.002718,0.01,0.0,0.97,100,11,1,12
90,0.9165146977631293,-4.595548523977068,-0.5073960402876664,-0.17641849140678947,0.002696,0.01,0.0,0.97,100,12,1,13
91,0.9062138826568767,-4.607946381265104,-0.5104168081634214,-0.17740206177139028,0.002674,0.01,0.0,0.97,100,12,1,13
92,0.9137589181311325,-4.619349211254434,-0.5131524097102367,-0.17839322661797616,0.002653,0.01,0.0,0.97,100,12,1,13
93,0.9061005384795479,-4.631908702778009,-0.5162631737478444,-0.17944167552148346,0.002632,0.01,0.0,0.97,100,12,1,13
94,0.9104756723674816,-4.64346767824559,-0.518971148620312,-0.1804237906827899,0.002611,0.01,0.0,0.97,100,11,1,12
95,0.9092883844677196,-4.655276188608276,-0.521895652476383,-0.18141334450778385,0.002591,0.01,0.0,0.97,100,11,1,12
96,0.9060978907517577,-4.664922438364143,-0.5243888114662121,-0.18223823994014618,0.002571,0.01,0.0,0.97,100,12,1,13
97,0.8989254533243788,-4.677942817858775,-0.5275135543893879,-0.18347362419401927,0.002551,0.01,0.0,0.97,100,12,1,13
98,0.9089024122991858,-4.68946509150311,-0.5303590614431613,-0.1844131770845867,0.002532,0.01,0.0,0.97,100,12,1,13
99,0.9120344279932373,-4.700185993947597,-0.5329493581604914,-0.18535417158677506,0.002513,0.01,0.0,0.97,100,12,1,13
100,0.9023245716575933,-4.712493214673471,-0.5359839384330874,-0.1864240261542378,0.002494,0.01,0.0,0.97,100,12,1,13
101,0.907493452732956,-4.723889332746331,-0.5387962298655485,-0.1873809022380002,0.002475,0.01,0.0,0.97,100,12,1,13
102,0.9102346882286826,-4.734794130602587,-0.5414867151702903,-0.18821621551982542,0.002457,0.01,0.0,0.97,100,12,1,13
103,0.9099298946726725,-4.745416935145926,-0.5441154423635644,-0.1891152681155489,0.002439,0.01,0.0,0.97,100,12,1,13
104,0.9081894599083908,-4.756628268729169,-0.5468161581627238,-0.19008721788203822,0.002421,0.01,0.0,0.97,100,12,1,13
105,0.9062032263429236,-4.768114180791939,-0.549588870102884,-0.19110661998256556,0.002404,0.01,0.0,0.97,100,11,1,12
106,0.907321905273585,-4.7785683405362205,-0.5521758335217226,-0.19201593694414315,0.002386,0.01,0.0,0.97,100,12,1,13
107,0.9071926927095622,-4.7894262852926355,-0.5548349259348377,-0.19296454243854314,0.002369,0.01,0.0,0.97,100,12,1,13
108,0.9088273517944616,-4.799558728258416,-0.5573268358718975,-0.19383235381580446,0.002352,0.01,0.0,0.97,100,12,1,13
109,0.9078587603790992,-4.810295603000602,-0.5599951795345212,-0.19473980157813336,0.002336,0.01,0.0,0.97,100,12,1,13
110,0.907683457132705,-4.820777243136883,-0.5625936091496804,-0.19562713484169067,0.00232,0.01,0.0,0.97,100,12,1,13
111,0.9067130611898497,-4.831529731179356,-0.5652680710257154,-0.19647478873100396,0.002304,0.01,0.0,0.97,100,12,1,13
112,0.9097040279914133,-4.841838104318803,-0.5676441941110724,-0.19734333623331815,0.002288,0.01,0.0,0.97,100,12,1,13
113,0.9042440590002732,-4.852613961070766,-0.57026077741819,-0.19824266474950641,0.002272,0.01,0.0,0.97,100,11,1,12
114,0.9062751677852349,-4.863420557146486,-0.5728948086030455,-0.19913026902798758,0.002257,0.01,0.0,0.97,100,12,1,13
115,0.906375141510231,-4.870799415570722,-0.5750281230675413,-0.19975031186170158,0.002241,0.01,0.0,0.97,100,12,1,13
116,0.9127067694711457,-4.876179738600796,-0.5767800217274804,-0.20036606070324045,0.002226,0.01,0.0,0.97,100,12,1,13
117,0.9072509562614336,-4.886499956715082,-0.5793316471011896,-0.20117995823548726,0.002212,0.01,0.0,0.97,100,12,1,13
118,0.904483529036268,-4.895865972701927,-0.5816856564856447,-0.20200694333119126,0.002197,0.01,0.0,0.97,100,12,1,13
119,0.9038712047830589,-4.906484031179235,-0.5843227805076999,-0.2029528010561834,0.002182,0.01,0.0,0.97,100,12,1,13
120,0.9141975101506661,-4.91502575350704,-0.5865189950178518,-0.2036373143264871,0.002168,0.01,0.0,0.97,100,12,1,13
121,0.9112501682142377,-4.924521196371469,-0.5888565627228085,-0.20438116965805095,0.002154,0.01,0.0,0.97,100,12,1,13
122,0.9105095164913111,-4.933884616853269,-0.5911161763789451,-0.20513597663829375,0.00214,0.01,0.0,0.97,100,12,1,13
123,0.9087273700766322,-4.943343448484892,-0.5934654042214792,-0.205955414805398,0.002127,0.01,0.0,0.97,100,12,1,13
124,0.905860349127182,-4.953314019242197,-0.5960466953441089,-0.20671806539949203,0.002113,0.01,0.0,0.97,100,12,1,13
125,0.9073964145791286,-4.963142410527281,-0.598428026559507,-0.20753738694000423,0.0021,0.01,0.0,0.97,100,12,1,13
