episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,global_depot_backlog,destination_onsite_fraction,destination_depot_fraction,alpha,alpha_initial,epsilon
0,0.8702443266384601,-2.5059317076404293,-0.0035984998780489957,-0.0017980345790171472,-0.0006623138399890472,-0.00127560700651951,-0.0006276643178187458,-0.0015229156231810854,-0.00020725308716465244,-0.00018124133569478882,0.02,0.02,0.2
1,0.922792386845114,-2.5126860765233734,-0.007108050866576046,-0.0033308517461893617,-0.0013316414173020936,-0.0023881260382002884,-0.0012902079913166508,-0.0023955499826251985,-0.0002964845819487628,-0.00023868748345894553,0.019416,0.02,0.198006
2,0.9196153330652728,-2.5195442621980826,-0.010679794292104725,-0.004827492881542442,-0.0020300184265966493,-0.0033866960152236685,-0.0019658144269150478,-0.0031756713256039866,-0.00037886084725838635,-0.0003135131429393855,0.018864,0.02,0.196032
3,0.9285296036672076,-2.525558323434216,-0.013790372704861446,-0.006145747327633888,-0.0026496795856922337,-0.004366065330760335,-0.0025786862720208565,-0.0038450555843330208,-0.00044808881376214553,-0.0003701186240716759,0.018344,0.02,0.194078
4,0.9177324232986548,-2.5324027556617197,-0.017395845032669523,-0.007734102783161655,-0.003329278212121017,-0.00550632605480647,-0.003214631261032717,-0.0048542113964685505,-0.0005284552757607503,-0.00043795052929742077,0.017851,0.02,0.192143
5,0.916474172274112,-2.5391356901606517,-0.020926359228001734,-0.00925922263414153,-0.004016915379635321,-0.006591025471159502,-0.0038655695139418935,-0.005799849624792744,-0.0005977738549810986,-0.0005067241386293487,0.017384,0.02,0.190228
6,0.9235683821918039,-2.5450412549112045,-0.02402896559893437,-0.01058124884552415,-0.004652080867691192,-0.007519016263395066,-0.004422994856139477,-0.006609948567910707,-0.0006782650086083685,-0.0005661671926663202,0.016941,0.02,0.188331
7,0.9190867549336323,-2.551216435991685,-0.027300000577459863,-0.012012397889511316,-0.005276788138029128,-0.008531605573834682,-0.00500341886513899,-0.007550823523135229,-0.0007428979611086035,-0.0006478327446312819,0.016519,0.02,0.186454
8,0.9181770400637493,-2.557347331513008,-0.03054028360006002,-0.01342806026528567,-0.005883191092692085,-0.009494784327791503,-0.005560336698609557,-0.008385876450513143,-0.0008172593663624519,-0.000720082703167223,0.016119,0.02,0.184595
9,0.922947848848916,-2.562966983887189,-0.03344984974761766,-0.01466860564368784,-0.006434493308455319,-0.01038664078666316,-0.006105393076285231,-0.009032850796316027,-0.0009069713714001666,-0.00078263653798337,0.015737,0.02,0.182755
