seed,exp_name,alpha,duration_hours,total_runtime_s,lookahead_minutes,num_scenarios,n_routing_candidates,n_time_steps,service_level,avg_bike_km_driven,starvations,congestions,total_trips,bike_departures,bike_arrivals,total_depot_deliveries,total_depot_visits,total_fixed_on_site,total_picked_up_to_depot,total_depot_fixes,total_bikes_redistributed_from_depot,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,broken_bikes_end_onsite,broken_bikes_end_depot,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
42,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,10,1,18,0.9465,401.4643,2210,1014,60282,58072,58072,233,47,223,233,233,223,7517,7760,0.0157,0.0328,0.9514,0.0026,0.0169,0.9804,2,13,215,214,223,223
43,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,10,1,18,0.9499,398.0444,2155,855,60062,57907,57906,184,50,224,184,184,190,7718,7918,0.0079,0.0329,0.9593,0.0091,0.0248,0.9661,7,19,227,179,224,190
44,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,10,1,18,0.9472,398.4481,2304,834,59410,57106,57108,237,48,249,237,237,232,7416,7648,0.0157,0.0288,0.9556,0.0026,0.0261,0.9712,2,20,240,230,249,232
45,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,10,1,18,0.9506,397.2969,2059,882,59520,57461,57459,224,44,223,224,224,223,7734,7955,0.0105,0.0276,0.9619,0.0039,0.0235,0.9726,3,18,219,214,223,223
46,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,10,1,18,0.9487,397.6753,2129,895,58938,56809,56809,225,43,206,225,225,233,7664,7906,0.0105,0.0316,0.9578,0.0026,0.0143,0.9831,2,11,200,213,206,233
47,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,10,1,18,0.945,398.0136,2232,1033,59402,57170,57171,236,48,201,236,236,233,7450,7695,0.0132,0.0448,0.942,0.0091,0.0157,0.9752,7,12,200,216,201,233
48,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,10,1,18,0.9447,398.1332,2486,814,59646,57160,57160,255,51,214,255,255,238,7511,7757,0.0106,0.0317,0.9578,0.0053,0.029,0.9657,4,22,211,249,214,238
49,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,10,1,18,0.9459,397.0309,2202,1000,59136,56934,56935,224,45,208,224,224,224,7820,8054,0.0131,0.0327,0.9542,0.0065,0.0183,0.9752,5,14,206,212,208,224
50,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,10,1,18,0.9496,397.8986,2177,819,59402,57225,57226,221,43,214,221,221,212,7830,8050,0.0143,0.0261,0.9596,0.0065,0.013,0.9804,5,10,211,213,214,212
51,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,10,1,18,0.9475,399.1794,2219,925,59852,57633,57634,196,52,233,196,196,203,7714,7900,0.0119,0.0264,0.9618,0.0065,0.0208,0.9727,5,16,229,192,233,203
