,mean,std,variance,min,max
rebalancing_imbalance,0.5490209460258484,0.09217093884944916,0.008495483,0.3078896701335907,0.8774855732917786
squared_starvation_penalty,0.18108808994293213,0.05609447509050369,0.0031465902,0.021628333255648613,0.35970476269721985
squared_congestion_penalty,0.15467569231987,0.046658992767333984,0.0021770615,0.0419379286468029,0.3346506357192993
exponential_starvation_penalty,0.1600968986749649,0.053827933967113495,0.0028974465,0.016652435064315796,0.33534470200538635
exponential_congestion_penalty,0.13443174958229065,0.04503320902585983,0.00202799,0.034618232399225235,0.3010181486606598
starvation_severity_max,0.9146081805229187,0.11283084005117416,0.012730798,0.3270833194255829,1.0
congestion_severity_max,0.8628712892532349,0.12353003770112991,0.015259671,0.4166666567325592,1.0
starvation_count,0.08797543495893478,0.05349119007587433,0.0028613072,0.0,0.26865673065185547
congestion_count,0.06169722229242325,0.04650571197271347,0.0021627813,0.0,0.2537313401699066
gross_starvation_risk,0.1307557076215744,0.08121594041585922,0.006596029,0.0,0.6091126799583435
gross_congestion_risk,0.10006681829690933,0.06299085915088654,0.0039678486,0.0,0.4353538155555725
net_starvation_shortfall,0.04195878654718399,0.027743320912122726,0.00076969183,0.0,0.23442216217517853
net_congestion_shortfall,0.024550089612603188,0.01554256584495306,0.00024157135,0.0,0.13747425377368927
