,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,exponential_starvation_penalty,exponential_congestion_penalty,starvation_severity_max,congestion_severity_max,starvation_count,congestion_count,gross_starvation_risk,gross_congestion_risk,net_starvation_shortfall,net_congestion_shortfall
rebalancing_imbalance,1.0,0.6063495022333052,0.8459337106929543,0.6195751343505367,0.8258913600513148,0.4366859335700227,0.6934847577642829,0.6466667527860323,0.6842119755023841,0.21794917855611015,0.1936173004378965,0.4505394417231703,0.5158055899037888
squared_starvation_penalty,0.6063495022333052,1.0,0.4771380948859069,0.9966503242150729,0.5027643624005057,0.8224520686317905,0.5833527563121472,0.9003230958585376,0.5535844548003864,0.48275566318651447,0.4958395682620309,0.47033030655563723,0.5979312796659929
squared_congestion_penalty,0.8459337106929543,0.4771380948859069,1.0,0.49225084169159594,0.9949321094884992,0.3933284113590014,0.8434145432281644,0.5434706481413708,0.875945223823988,0.1250426957926424,0.16499221342880468,0.4561979620716297,0.6118099927045789
exponential_starvation_penalty,0.6195751343505367,0.9966503242150729,0.49225084169159594,1.0,0.5163133429061483,0.8283575583806563,0.5869607413708149,0.9282058489247922,0.5606960487948027,0.48282373743963053,0.4897818007579034,0.49361117614789224,0.5994858851378209
exponential_congestion_penalty,0.8258913600513148,0.5027643624005057,0.9949321094884992,0.5163133429061483,1.0,0.4148970277590623,0.8637173896411963,0.5592021226185079,0.9150404648527649,0.1390656649758074,0.19134196947466026,0.4568633414876051,0.6456774768768019
starvation_severity_max,0.4366859335700227,0.8224520686317905,0.3933284113590014,0.8283575583806563,0.4148970277590623,1.0,0.533280436052637,0.7775692417635913,0.44770146540473493,0.40658355615821756,0.3922612854644563,0.4471649188335969,0.4786965791321904
congestion_severity_max,0.6934847577642829,0.5833527563121472,0.8434145432281644,0.5869607413708149,0.8637173896411963,0.533280436052637,1.0,0.5719981600621901,0.8384646253937577,0.20496857599455984,0.27301783403173874,0.421311894289265,0.6511014163069836
starvation_count,0.6466667527860323,0.9003230958585376,0.5434706481413708,0.9282058489247922,0.5592021226185079,0.7775692417635913,0.5719981600621901,1.0,0.5710279301057918,0.44071454234716156,0.4295875557230806,0.5462760910192743,0.5726563942205275
congestion_count,0.6842119755023841,0.5535844548003864,0.875945223823988,0.5606960487948027,0.9150404648527649,0.44770146540473493,0.8384646253937577,0.5710279301057918,1.0,0.18720134721500803,0.2652073470738957,0.42581632289238386,0.6952184090845549
gross_starvation_risk,0.21794917855611015,0.48275566318651447,0.1250426957926424,0.48282373743963053,0.1390656649758074,0.40658355615821756,0.20496857599455984,0.44071454234716156,0.18720134721500803,1.0,0.8064907607815814,0.7368630025284105,0.4452996369157099
gross_congestion_risk,0.1936173004378965,0.4958395682620309,0.16499221342880468,0.4897818007579034,0.19134196947466026,0.3922612854644563,0.27301783403173874,0.4295875557230806,0.2652073470738957,0.8064907607815814,1.0,0.4894739234241651,0.6611908107880908
net_starvation_shortfall,0.4505394417231703,0.47033030655563723,0.4561979620716297,0.49361117614789224,0.4568633414876051,0.4471649188335969,0.421311894289265,0.5462760910192743,0.42581632289238386,0.7368630025284105,0.4894739234241651,1.0,0.4880663671505841
net_congestion_shortfall,0.5158055899037888,0.5979312796659929,0.6118099927045789,0.5994858851378209,0.6456774768768019,0.4786965791321904,0.6511014163069836,0.5726563942205275,0.6952184090845549,0.4452996369157099,0.6611908107880908,0.4880663671505841,1.0
