episode,service_level,rebalancing_imbalance,starvation_severity_max,congestion_severity_max
0,0.9026908357314505,-2.0259191546589137,-3.2140302363317463,-3.1479839385487143
1,0.9370411435078362,-0.763019891524763,-1.1155988439249174,-0.8566090631748065
2,0.9377776452699681,-1.052642833134364,-1.5926972379617292,-1.2745733543467832
3,0.945735038117534,-0.8299163444101789,-1.1551329552164673,-0.758635715466272
4,0.935781180318121,-1.1878346926053687,-1.7450920471147668,-1.2582670658286415
5,0.9379793465788997,-1.1487942376778395,-1.6329623360171097,-1.1283853406137572
6,0.9333113930110101,-1.170776612180246,-1.678580274810201,-1.1369179354467194
7,0.9335541234037474,-1.2963438665402651,-1.8854602867303143,-1.2480368815214782
8,0.9433656957928802,-1.1532461210974128,-1.59034183972402,-0.9143082376383401
9,0.93908476213475,-1.233803322310008,-1.6784675593326706,-0.9457972590697148
10,0.9414901496074656,-1.1963228104130421,-1.5773031812925649,-0.8758505361642052
11,0.9383727256241311,-1.2371912813351764,-1.5948800751360648,-0.8881009915116588
12,0.9370332103321033,-1.4155401012644746,-1.8783238660947166,-1.1315042090809215
13,0.9386359546517905,-1.254890965655568,-1.6143139513265754,-0.7688862234203244
14,0.9371233793901028,-1.3348875982857848,-1.7580305877028777,-0.8973246047027288
15,0.9372210563650873,-1.3537962343835521,-1.7719847463262495,-0.9105761382732251
16,0.9451728956679452,-1.3345667842886197,-1.7584458111474313,-0.8575143700208944
17,0.9350302598789605,-1.4721047934539906,-1.91451229020803,-1.0544344975910378
18,0.9350019344662361,-1.4725000890975264,-1.8899385564726991,-0.9785858079843877
19,0.9385307346326837,-1.4294889986145511,-1.782184234961752,-0.8534741482029327
20,0.9367984236923812,-1.465048219494266,-1.7896762857132913,-0.893140909360866
21,0.9447358168250067,-1.468588434620437,-1.8084995451238215,-0.8948905851445911
22,0.9400873099503236,-1.450952642104692,-1.685254127928602,-0.7975615174634894
23,0.9388551346199666,-1.5579500874079746,-1.8570431273682697,-0.9727562211050186
24,0.9407746921901681,-1.4841482293124724,-1.6685251247734532,-0.7828953136735899
25,0.9428026692087702,-1.4813529666688425,-1.686926081322062,-0.7737343202519367
26,0.9316192890337377,-1.6554813213793178,-2.012075240902292,-1.047309565179988
27,0.9479429561832943,-1.5248200208452778,-1.794471762072059,-0.8288110088198754
28,0.9444127451274813,-1.5178955053887508,-1.7559752750623363,-0.7880391497293536
29,0.9450368188512518,-1.49104202491602,-1.6860356212866616,-0.7288288450698093
30,0.9380581877630105,-1.5415297758295163,-1.7711649551262874,-0.8138611739174383
31,0.9404914370811616,-1.6055023714978534,-1.8813076605122254,-0.8728881195066522
32,0.9398832221163013,-1.6436858393611193,-1.963864655890808,-0.9173659506828066
33,0.9423042411916014,-1.6211601850358526,-1.8737214411526564,-0.8624245979450316
34,0.9321423254429061,-1.7891181185655265,-2.0957589975417594,-1.0908337539038668
35,0.9333894433088854,-1.7980535235682824,-2.0626017504478185,-1.075656341305553
36,0.9377621102534492,-1.7595080651250061,-2.002172295059108,-1.0059135212217534
37,0.937983334332474,-1.7339082654060736,-1.957940044978961,-0.9627236596966848
38,0.9408127471090104,-1.733626537105635,-1.9976436172795924,-0.9757157397887233
39,0.9411782350470934,-1.6985789861471103,-1.93863369331339,-0.9014490945646256
40,0.9405369691873385,-1.6969146358720266,-1.9659467695057822,-0.8916654797361107
41,0.9453085045576246,-1.6517884949242947,-1.8323912383956142,-0.7969753956106994
42,0.9431896577581811,-1.624992089429646,-1.7933164971324989,-0.7604596575108398
43,0.9374333018263865,-1.619345846532661,-1.788512126328568,-0.7174684786397779
44,0.9380304580750015,-1.6889514014478486,-1.8584589675104286,-0.8114819996677847
45,0.9379782400765184,-1.7627337765437359,-1.9506808388202723,-0.9451949069897538
46,0.9374141124454801,-1.7648032310606128,-1.9577425590228308,-0.932227043063298
47,0.9397484997436748,-1.7435928276349582,-1.8977552532780104,-0.8950039068834941
48,0.9398902186628273,-1.759977093090887,-1.8627804220305408,-0.8692906566297905
49,0.9427169065932421,-1.7726935841938425,-1.872645909494819,-0.8733501536006153
50,0.9339379789272031,-1.8205391579807053,-1.9648081458435867,-0.9291259296512845
