episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,starvation_count,congestion_count,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
0,0.9083231600247504,-2.5501685496270783,-0.026214804410234813,-0.01298830019062513,-0.0037592774280286773,-0.006969150637797451,-0.0007052636360776247,0.01,0.01,0.0,0.97,100,11,1,12
1,0.8982110431098258,-2.603447545685234,-0.053928111049289316,-0.027406535889420255,-0.007272693430526632,-0.014830703398127029,-0.0011810385867682823,0.009708,0.01,0.0,0.97,100,11,1,12
2,0.9048384934995309,-2.6522350074482395,-0.07899887565546374,-0.03973310187571254,-0.010830686181624017,-0.021419138337858225,-0.0017037375644131463,0.009432,0.01,0.0,0.97,100,10,1,11
3,0.9074665819015274,-2.6982484179348223,-0.10306033059893352,-0.051177837606075194,-0.014740690313305495,-0.027355786336396678,-0.002462763924872237,0.009172,0.01,0.0,0.97,100,10,1,11
4,0.8995096415081837,-2.743443592205998,-0.1267772918581745,-0.0633799239438383,-0.017953168254576952,-0.03427513597416696,-0.0028812566783356754,0.008925,0.01,0.0,0.97,100,11,1,12
5,0.9022965417963912,-2.789627043947133,-0.15031931191392578,-0.07496414181467331,-0.021203864764678795,-0.04036537292479264,-0.0034087159087593803,0.008692,0.01,0.0,0.97,100,10,1,11
6,0.9071829537600512,-2.831677082128739,-0.17210908339499142,-0.08565177115196243,-0.024267800851532944,-0.04608417507765644,-0.003854078773575405,0.00847,0.01,0.0,0.97,100,10,1,11
7,0.9041393970841772,-2.8742033115817724,-0.19408667218240322,-0.09653923694964434,-0.027272477896793167,-0.05196957201401972,-0.004257421949418559,0.00826,0.01,0.0,0.97,100,10,1,11
8,0.9129719740255337,-2.9110729156532065,-0.2130298580008993,-0.10584390257629898,-0.03002348434757418,-0.056963114427052174,-0.004668191253452966,0.008059,0.01,0.0,0.97,100,10,1,11
9,0.9115880260420163,-2.9479407144569727,-0.23202335922290446,-0.11513504006650589,-0.03269030370840734,-0.0618373593646999,-0.0050396408490512865,0.007868,0.01,0.0,0.97,100,10,1,11
10,0.894429236014309,-2.991641074524658,-0.254626864222133,-0.1265486860661263,-0.03576313322816633,-0.06808646656655688,-0.005464634345393635,0.007686,0.01,0.0,0.97,100,10,1,11
11,0.9092072903682242,-3.027896843843952,-0.2733987891199962,-0.13596276281378544,-0.03836250264251616,-0.07308121000048556,-0.005818554405285142,0.007513,0.01,0.0,0.97,100,10,1,11
12,0.9120334468458141,-3.0630681689140005,-0.29125675380435606,-0.1442927820402105,-0.041274167666521054,-0.07738749859198199,-0.006247995742438678,0.007346,0.01,0.0,0.97,100,11,1,12
13,0.9125443329467332,-3.094283007436143,-0.30760153050571676,-0.15255593006082588,-0.04359012309532269,-0.08181988992082845,-0.0065515982975460196,0.007188,0.01,0.0,0.97,100,11,1,12
14,0.9115431715622956,-3.1269501994546753,-0.324157231727443,-0.16017219339433364,-0.04621134489292648,-0.08565106304444327,-0.00692954725983177,0.007035,0.01,0.0,0.97,100,10,1,11
15,0.9132943129790195,-3.153573244155519,-0.33845072020277683,-0.16748447266060373,-0.04817429468799838,-0.08957859155098576,-0.007275609255414779,0.006889,0.01,0.0,0.97,100,11,1,12
16,0.9038748762355469,-3.18790322395874,-0.3563386450254849,-0.17664804743808507,-0.05050481337424021,-0.09460641516303815,-0.0075703537590580015,0.006749,0.01,0.0,0.97,100,10,1,11
17,0.9072469642465082,-3.22006807324245,-0.3724898369935662,-0.18442047298288095,-0.05279290132487783,-0.09856105408254018,-0.007842556937773271,0.006615,0.01,0.0,0.97,100,11,1,12
18,0.9040705427390319,-3.25303941151796,-0.3893740844408943,-0.19293057379298587,-0.0550334586604292,-0.10315454836303806,-0.008181703784784965,0.006486,0.01,0.0,0.97,100,10,1,11
19,0.9060145271875637,-3.284137328503368,-0.40526451178188483,-0.20057576284910547,-0.0574006201780016,-0.10722327384081672,-0.008513516140637662,0.006362,0.01,0.0,0.97,100,10,1,11
20,0.9111114791566605,-3.3126927333157155,-0.4198427128271646,-0.20774251240681915,-0.059424838816688905,-0.11096107882099863,-0.008778321830242448,0.006242,0.01,0.0,0.97,100,11,1,12
