episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,starvation_count,congestion_count,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
21,0.9094285859665191,-3.3414735738912364,-0.43460108233384903,-0.21511855305435218,-0.061448587400963504,-0.11493969321407949,-0.009062942793545317,0.006127,0.01,0.0,0.97,100,10,1,11
22,0.9184861717612809,-3.3626726772099356,-0.4456391760380731,-0.22053835714966977,-0.0631279937902286,-0.11769270291682345,-0.009306187094887074,0.006016,0.01,0.0,0.97,100,11,1,12
23,0.9067399440304797,-3.3887332138916637,-0.45933654042852345,-0.22739012428010935,-0.06521423768245536,-0.12146398352331761,-0.009645811562166713,0.005909,0.01,0.0,0.97,100,11,1,12
24,0.9045757071547421,-3.4181831890737886,-0.47437022308205673,-0.23457839824435062,-0.06746758157901109,-0.12529148439745624,-0.009959420711889596,0.005806,0.01,0.0,0.97,100,10,1,11
25,0.90852877746327,-3.4452447032837337,-0.48820224448991284,-0.24149190143464933,-0.06930834501919475,-0.1289379678517277,-0.010210521112199127,0.005706,0.01,0.0,0.97,100,10,1,11
26,0.9079953067381831,-3.472212634049566,-0.5020124788815992,-0.24835419642681278,-0.07114445349581337,-0.1326870386791024,-0.010412720964863677,0.00561,0.01,0.0,0.97,100,10,1,11
27,0.9137322771749983,-3.497153094402845,-0.5149002813614438,-0.2545666460641648,-0.07307037657818657,-0.13588533439753295,-0.010793463173185707,0.005517,0.01,0.0,0.97,100,10,1,11
28,0.9082022377387061,-3.521998246110647,-0.5274988996206317,-0.26083482947614567,-0.07481093741217097,-0.1390156282458007,-0.011073636791709623,0.005426,0.01,0.0,0.97,100,11,1,12
29,0.9088251600221763,-3.5471731595512446,-0.5404081574303113,-0.2671302384144566,-0.07674545300573517,-0.14243675254438737,-0.011369536828937423,0.005339,0.01,0.0,0.97,100,11,1,12
30,0.9098316132536665,-3.57135631421571,-0.5528749237769267,-0.2731369177846954,-0.07875166703220224,-0.14565609652496236,-0.011784770899443776,0.005255,0.01,0.0,0.97,100,11,0,11
31,0.9106061372876495,-3.595151023269223,-0.5650854390221933,-0.27903349463112653,-0.08059584366875494,-0.1487864089487556,-0.01203886587338523,0.005173,0.01,0.0,0.97,100,10,1,11
32,0.9074643932132708,-3.619603627027391,-0.5776740176001003,-0.2853443349199048,-0.08224954807253795,-0.15208948859360055,-0.012218098367802691,0.005094,0.01,0.0,0.97,100,10,1,11
33,0.9128263298682829,-3.6418466998480046,-0.5890063829527752,-0.29077181481758085,-0.08401686184459861,-0.15489551896618717,-0.012558354503217036,0.005017,0.01,0.0,0.97,100,10,1,11
34,0.9085852680808418,-3.665425945118368,-0.6012510003450672,-0.29667595437334504,-0.08588946015439453,-0.15808012826155055,-0.012835046692443848,0.004942,0.01,0.0,0.97,100,10,1,11
35,0.9079343596684148,-3.6869720352281936,-0.6122051419338888,-0.3020023555978584,-0.0875310403224563,-0.16094519059503187,-0.013085609596049857,0.00487,0.01,0.0,0.97,100,11,1,12
36,0.9038266855638794,-3.7108491175031824,-0.6244256338966884,-0.30816655215820615,-0.0890995106029189,-0.16424125183040847,-0.013236667669969126,0.004799,0.01,0.0,0.97,100,10,1,11
37,0.909001923920748,-3.7330019082461354,-0.6358753032043499,-0.31366607559562215,-0.09083555115662678,-0.16715591351642567,-0.013505084759460611,0.004731,0.01,0.0,0.97,100,10,1,11
38,0.9079031123320714,-3.7551321189025866,-0.647333880503823,-0.31925986485145313,-0.09253487734219443,-0.1702007534003852,-0.01372812895930289,0.004665,0.01,0.0,0.97,100,10,1,11
39,0.9032160702907542,-3.778263907775101,-0.6593805011933427,-0.3251332049808105,-0.09437161080841246,-0.1733382612337116,-0.01404963978096032,0.0046,0.01,0.0,0.97,100,10,1,11
40,0.9099158359898126,-3.799111920317762,-0.670048489044064,-0.33026345620989656,-0.09584207535591606,-0.17599675527600692,-0.014232396971525231,0.004537,0.01,0.0,0.97,100,10,1,11
41,0.908108380677043,-3.8195136853523035,-0.6806828581941291,-0.33565170472791944,-0.0972697148162823,-0.17884585686806864,-0.014432165567650146,0.004476,0.01,0.0,0.97,100,11,1,12
42,0.9152866242038217,-3.8374627986085756,-0.6900018443544389,-0.3402468653075522,-0.09863388558525073,-0.18126280489526442,-0.014661940036391465,0.004417,0.01,0.0,0.97,100,11,1,12
43,0.9095535046146171,-3.8578737768274367,-0.7004160823778739,-0.345284440741337,-0.10012535417258654,-0.18387669078843047,-0.014882627863867178,0.004359,0.01,0.0,0.97,100,10,1,11
44,0.9062610007543375,-3.878623937547638,-0.7111052948012191,-0.35066685576813095,-0.10153751140090436,-0.1867183410350346,-0.01506887465976713,0.004302,0.01,0.0,0.97,100,10,1,11
45,0.9107097815668668,-3.897867679059251,-0.7209397257452118,-0.3554379011742547,-0.10298569856028818,-0.18917547558127082,-0.01536702706044559,0.004247,0.01,0.0,0.97,100,10,1,11
46,0.9084671263442213,-3.9174717889428337,-0.7308558467952586,-0.36037106329602897,-0.10428730826113444,-0.19178098596552715,-0.01554350979585183,0.004194,0.01,0.0,0.97,100,10,1,11
47,0.9085788053045417,-3.9367553113281377,-0.7406227889177331,-0.3651115215800717,-0.10565211132598257,-0.19423147218833636,-0.01570093129277394,0.004141,0.01,0.0,0.97,100,10,1,11
48,0.8972552424201949,-3.958583402601194,-0.7520096229953412,-0.3708071993175261,-0.10728381193281723,-0.19739307012425136,-0.015983933226115663,0.00409,0.01,0.0,0.97,100,10,1,11
49,0.9063965705640077,-3.9778811002543706,-0.7621412122608265,-0.37577578830210373,-0.10882197960243238,-0.2000495988118674,-0.016261983849695377,0.004041,0.01,0.0,0.97,100,10,1,11
50,0.9069260073505966,-3.99380669047534,-0.7705555451337588,-0.3799069732886036,-0.11016531662670097,-0.20225099246047099,-0.01651106043152824,0.003992,0.01,0.0,0.97,100,11,1,12
51,0.9120204517550499,-4.011351661150357,-0.7796161224098035,-0.38433214631444557,-0.11152215990771779,-0.2046691427092988,-0.016782583125301953,0.003945,0.01,0.0,0.97,100,10,1,11
52,0.9161620080632917,-4.018777368202141,-0.7830783068212805,-0.38671582967543333,-0.11181537633730305,-0.20597861508278964,-0.01684762781374688,0.003898,0.01,0.0,0.97,100,11,1,12
53,0.904315824690532,-4.037851243397391,-0.7928426758427864,-0.39161059306890217,-0.11303926135009919,-0.20853767833441825,-0.01698405531849858,0.003853,0.01,0.0,0.97,100,11,1,12
54,0.9127735266478723,-4.054611944400635,-0.8014525072792715,-0.3959894513355744,-0.11408999111090497,-0.21083422712705138,-0.017093553633232873,0.003809,0.01,0.0,0.97,100,10,1,11
55,0.9069747969521895,-4.072547766363289,-0.8106742533840381,-0.400458081118637,-0.11549318124675975,-0.21317292317341374,-0.017315249399178743,0.003766,0.01,0.0,0.97,100,10,1,11
56,0.9144521357420227,-4.088360690611054,-0.818694549543247,-0.404320714891014,-0.11666187779631014,-0.21514958153827482,-0.0175021516586705,0.003724,0.01,0.0,0.97,100,10,1,11
57,0.9080471329679355,-4.1055326684332885,-0.8274839440167968,-0.4087652090218955,-0.1177921087341136,-0.2174599543757567,-0.017656004588011105,0.003682,0.01,0.0,0.97,100,10,1,11
58,0.9061265652575847,-4.120918009075804,-0.8355777086839932,-0.41283139082011905,-0.1189435802134767,-0.21958944691940496,-0.01787142527624976,0.003642,0.01,0.0,0.97,100,11,1,12
59,0.9040288959778554,-4.138390712544169,-0.8446779067975024,-0.41734600726729904,-0.12017218926061696,-0.22194001801865174,-0.01809555774430336,0.003602,0.01,0.0,0.97,100,10,1,11
60,0.9153708287104207,-4.152816055687108,-0.8518393771819391,-0.42085558340257806,-0.12117018184550563,-0.2237655013992603,-0.018221502561598924,0.003564,0.01,0.0,0.97,100,11,1,12
61,0.9156697063498703,-4.167728484545788,-0.8595907924576978,-0.42466671786490623,-0.12229890830720085,-0.22580289872908788,-0.018403744527036373,0.003526,0.01,0.0,0.97,100,10,1,11
62,0.9091430016010786,-4.1837247664718396,-0.8677870228285879,-0.4287478094696662,-0.1233711375296707,-0.22790336080039889,-0.01853831787951292,0.003489,0.01,0.0,0.97,100,10,1,11
63,0.9049117228683792,-4.200136955020376,-0.8762427232633541,-0.43313746638885564,-0.12446571432267652,-0.23026835229093634,-0.01869765493038233,0.003453,0.01,0.0,0.97,100,11,1,12
64,0.9048136568075039,-4.211189780140173,-0.8818229339769513,-0.43612228956967564,-0.1251680669352923,-0.23178189431872165,-0.018854237489438812,0.003417,0.01,0.0,0.97,100,11,1,12
65,0.9029136001613066,-4.2278648317966505,-0.8905990582308846,-0.44043029840592796,-0.12649360013266212,-0.23411554822640615,-0.01909116493026477,0.003382,0.01,0.0,0.97,100,10,1,11
66,0.9021602296188126,-4.243565148533423,-0.8987585589120247,-0.44464030351554357,-0.1275152467009966,-0.23634296880261085,-0.019227143638018186,0.003348,0.01,0.0,0.97,100,11,1,12
67,0.9091568541448767,-4.2586431219054734,-0.906478350166354,-0.4483201187657499,-0.12869873280562213,-0.23828236496377436,-0.01945596242744317,0.003315,0.01,0.0,0.97,100,10,1,11
68,0.9064341228408843,-4.274251424556754,-0.9145591993735641,-0.4522829405564971,-0.12987956346153567,-0.24038780096585105,-0.019652732628665775,0.003282,0.01,0.0,0.97,100,10,1,11
69,0.9120560481370363,-4.28862149627929,-0.9218920155673727,-0.4558518338898202,-0.13094374272637718,-0.24221025482964334,-0.019829712358294102,0.00325,0.01,0.0,0.97,100,10,1,11
70,0.9071579124862996,-4.30354550590305,-0.929763078306289,-0.45974734733254496,-0.13203952551458828,-0.2443007364333666,-0.02000077573228862,0.003219,0.01,0.0,0.97,100,10,1,11
71,0.9192424065127631,-4.316305710872403,-0.9361823069061563,-0.462762617040212,-0.13302744494598598,-0.2457858479888982,-0.020210266466447573,0.003188,0.01,0.0,0.97,100,10,1,11
72,0.9101404108441407,-4.3304182624796255,-0.9435606494983553,-0.466501657904834,-0.13403364781989546,-0.2478403061336674,-0.02037585252361019,0.003157,0.01,0.0,0.97,100,11,1,12
73,0.9032616753150482,-4.345630876074852,-0.9513718656887465,-0.47058335048069466,-0.13496350967297446,-0.2500334469567275,-0.020492349204991937,0.003128,0.01,0.0,0.97,100,10,1,11
74,0.9096810183072164,-4.351806147407233,-0.9547705839842526,-0.47258548152178964,-0.1356542966099879,-0.2512141334921188,-0.020694770630418993,0.003098,0.01,0.0,0.97,100,11,1,12
75,0.9102137767220903,-4.365377063232582,-0.9616908639010273,-0.47597803670989225,-0.13658173236282142,-0.2530150596510662,-0.020837897913479182,0.00307,0.01,0.0,0.97,100,10,1,11
76,0.9150078130307766,-4.377959018543808,-0.9681031718639009,-0.4790242163878894,-0.1375187930525251,-0.25457706917492595,-0.020969577608631353,0.003042,0.01,0.0,0.97,100,10,1,11
77,0.9066306270230587,-4.392127996041459,-0.9754245721083645,-0.48257367281457286,-0.13862496761732487,-0.25642308332933894,-0.021184220511478183,0.003014,0.01,0.0,0.97,100,10,1,11
78,0.9021346635091786,-4.406944984153625,-0.9829846321811697,-0.4863516826748189,-0.13968231900863198,-0.25846777363021983,-0.02133884522951188,0.002987,0.01,0.0,0.97,100,10,1,11
79,0.9021526751278522,-4.421459761938239,-0.9904506806288125,-0.4900355093761627,-0.14072855911933072,-0.26041347402085896,-0.021541572989087456,0.00296,0.01,0.0,0.97,100,10,1,11
80,0.911134616030355,-4.434356800674907,-0.9969410800078217,-0.4932842472688666,-0.14154256369733176,-0.2621472979070646,-0.021651782319228676,0.002934,0.01,0.0,0.97,100,10,1,11
81,0.9128200808625337,-4.4466515340927675,-1.0032227350425091,-0.4963614724520213,-0.1424977006357231,-0.2637588466633138,-0.02182941287071655,0.002909,0.01,0.0,0.97,100,11,1,12
82,0.9105196664701424,-4.459416532330162,-1.0097201784196062,-0.49946177808878867,-0.14349988242319806,-0.26531179209093325,-0.021975681717118035,0.002883,0.01,0.0,0.97,100,10,1,11
83,0.8995056829645571,-4.473887880771552,-1.0172406485877066,-0.5032205223062266,-0.14455210987026665,-0.26732848160418576,-0.022143350098926203,0.002859,0.01,0.0,0.97,100,11,0,11
84,0.9099066165963244,-4.48667062088033,-1.0237253203065089,-0.5063339971517611,-0.14550910352736188,-0.26896064428673944,-0.02233208476039493,0.002834,0.01,0.0,0.97,100,11,0,11
85,0.9014117805998378,-4.499841589683341,-1.0305011658136112,-0.5096925978736279,-0.14643165233791597,-0.2706656449053622,-0.02244793532416013,0.00281,0.01,0.0,0.97,100,11,1,12
86,0.9053162065396297,-4.513045690340527,-1.0372534658198596,-0.513152045309614,-0.14720095558196444,-0.2724775714317508,-0.022539234370112498,0.002787,0.01,0.0,0.97,100,11,1,12
87,0.9037640732649975,-4.526646525389923,-1.0442757330875847,-0.5165617345870308,-0.1482243218968279,-0.27428187466968595,-0.022706423593820045,0.002763,0.01,0.0,0.97,100,10,1,11
88,0.9071463542282174,-4.539239402633674,-1.0506849258714455,-0.519706193908395,-0.1491255307139939,-0.27590063749055443,-0.022843634833406297,0.002741,0.01,0.0,0.97,100,10,1,11
89,0.9085524317391744,-4.551468560321063,-1.056900711365651,-0.5227458962031245,-0.15007156176952915,-0.2775114858011343,-0.023009226196859897,0.002718,0.01,0.0,0.97,100,10,1,11
90,0.9101227354388086,-4.563454977996195,-1.0630343803802258,-0.5256642534589061,-0.1510427714059587,-0.27903614314943603,-0.023180101795103547,0.002696,0.01,0.0,0.97,100,10,1,11
91,0.9077883411712961,-4.575743713902086,-1.06948909123155,-0.5288658151788173,-0.151994109836898,-0.2807162412752464,-0.02337385539183801,0.002674,0.01,0.0,0.97,100,11,1,12
92,0.9092249546633222,-4.587552523073205,-1.0755653243111347,-0.5318389601579218,-0.15286118493249684,-0.2822398083924005,-0.023511868909916838,0.002653,0.01,0.0,0.97,100,10,1,11
93,0.9086138316007621,-4.5995094349453085,-1.081772729799221,-0.534907343364827,-0.15374606747010142,-0.2838562958724883,-0.02365682988898718,0.002632,0.01,0.0,0.97,100,10,1,11
94,0.9132495852097653,-4.606100293812552,-1.0852653681896083,-0.5369206432421905,-0.15420163411929297,-0.28498466414390755,-0.02374897636202781,0.002611,0.01,0.0,0.97,100,11,1,12
95,0.9102346882286826,-4.617652581652412,-1.091115948689649,-0.539816449229978,-0.15499220520137064,-0.28648475069593565,-0.023829946379726602,0.002591,0.01,0.0,0.97,100,10,1,11
96,0.908911292365368,-4.629157928251776,-1.0969197634679049,-0.54266744312895,-0.15579063076443767,-0.2879906538246371,-0.023942349541936046,0.002571,0.01,0.0,0.97,100,10,1,11
97,0.905989220410699,-4.641054579399527,-1.1030544903482744,-0.5457129513910515,-0.15663319679864568,-0.28957274816031814,-0.024061458812519945,0.002551,0.01,0.0,0.97,100,10,1,11
98,0.9125951883550104,-4.64992715094771,-1.1076063229027802,-0.5480804261916516,-0.15727638720203646,-0.29087815219494784,-0.024184872094531656,0.002532,0.01,0.0,0.97,100,11,1,12
99,0.9066485982891506,-4.661385833947141,-1.11360115952232,-0.5509948019726006,-0.15822577061516202,-0.29243931233385523,-0.024348378946240805,0.002513,0.01,0.0,0.97,100,10,1,11
100,0.9013470879863789,-4.673721157669553,-1.1199385598481784,-0.554185663246728,-0.1590631716754425,-0.294158243314076,-0.02445128165851177,0.002494,0.01,0.0,0.97,100,10,1,11
101,0.9016786570743405,-4.685678919607842,-1.1260879546934148,-0.5573712668331663,-0.15979170738606063,-0.295864391393135,-0.024529855214533342,0.002475,0.01,0.0,0.97,100,11,1,12
102,0.909726296029365,-4.69660729937837,-1.131586699170981,-0.5600571583853345,-0.1605603763371497,-0.29729360610312994,-0.024645167877660388,0.002457,0.01,0.0,0.97,100,10,1,11
103,0.9142137386511573,-4.706697621026295,-1.1366830635822232,-0.5626009602823806,-0.16125564001662585,-0.29862689686327404,-0.024758028721623925,0.002439,0.01,0.0,0.97,100,11,0,11
104,0.9079399681395154,-4.7176897723237525,-1.1424278066300388,-0.5654875098212108,-0.16205036705848128,-0.30021614510663025,-0.02488232495761225,0.002421,0.01,0.0,0.97,100,10,1,11
105,0.9092532630103147,-4.728474168907011,-1.1479791047085872,-0.5682778036160807,-0.16282926371860812,-0.3017270999061721,-0.025006352960317266,0.002404,0.01,0.0,0.97,100,10,1,11
106,0.9045235478143232,-4.739729880176367,-1.1537258295612416,-0.5711546393403103,-0.1635966511708825,-0.3032238692067174,-0.025122020768271174,0.002386,0.01,0.0,0.97,100,10,1,11
107,0.910435343656615,-4.749984212122448,-1.1588864314554277,-0.5736208378692588,-0.16437362579477557,-0.30452673739497427,-0.02523117016444742,0.002369,0.01,0.0,0.97,100,10,1,11
108,0.9093179283133834,-4.760535029242105,-1.1643480422836234,-0.5763549396957194,-0.16515059614625502,-0.30598182676093005,-0.025364290938276815,0.002352,0.01,0.0,0.97,100,10,1,11
109,0.9122992676207754,-4.770497257871685,-1.169530791614738,-0.5789448672734914,-0.16588132323292137,-0.307372945454043,-0.02548432431347237,0.002336,0.01,0.0,0.97,100,10,1,11
110,0.9098128477491149,-4.780697942130762,-1.1747807740791179,-0.5815182706002188,-0.16662906472836186,-0.3087256489460803,-0.02557322937119302,0.00232,0.01,0.0,0.97,100,10,1,11
111,0.9079855517305703,-4.790969107876662,-1.1800560160588152,-0.5841147376570239,-0.16736172977059458,-0.3100888328896239,-0.02567366513285147,0.002304,0.01,0.0,0.97,100,10,1,11
112,0.9095302824346776,-4.801152716337922,-1.1852928809584047,-0.5866888801732579,-0.1680759953222084,-0.31142016363438213,-0.025783997692487844,0.002288,0.01,0.0,0.97,100,10,1,11
113,0.9083825670005994,-4.811130093524787,-1.1903516173612314,-0.5891941837983482,-0.1688016964399062,-0.3127265363217698,-0.025874976825893122,0.002272,0.01,0.0,0.97,100,10,1,11
114,0.9119584579706248,-4.820835123375058,-1.195361628725697,-0.591651302859499,-0.16955309849328923,-0.31402772919970245,-0.02598769071365244,0.002257,0.01,0.0,0.97,100,10,1,11
115,0.9125508670617835,-4.830315090255634,-1.2002667009665513,-0.5940537869919915,-0.17027843227542555,-0.3153144432875552,-0.026098752105789037,0.002241,0.01,0.0,0.97,100,10,1,11
116,0.9115673986515175,-4.8397686361571965,-1.2050784165295418,-0.5963538572773189,-0.17099396982297962,-0.3164827909700727,-0.02620956172496627,0.002226,0.01,0.0,0.97,100,10,1,11
117,0.901744303286953,-4.850595784609544,-1.2107016145124316,-0.5992379031823317,-0.17172419681359777,-0.3180486417209069,-0.02632483093237717,0.002212,0.01,0.0,0.97,100,10,1,11
118,0.9057944239166946,-4.860796049667297,-1.2159672845276863,-0.6018298617302478,-0.1724976016448043,-0.31942829901420694,-0.026453881809472227,0.002197,0.01,0.0,0.97,100,10,1,11
119,0.9108168957290231,-4.870262991607427,-1.2207771498668365,-0.6042320133999091,-0.17315642624973746,-0.32072022991099597,-0.026536342125754876,0.002182,0.01,0.0,0.97,100,10,1,11
120,0.9082556501911341,-4.880010724897531,-1.2258240812421062,-0.6067514820955828,-0.17387483241493135,-0.3220724346016409,-0.02665637126751347,0.002168,0.01,0.0,0.97,100,10,1,11
121,0.9063218002432761,-4.889829839454878,-1.230910007194548,-0.6093032870835945,-0.17457206785868754,-0.32344168681502944,-0.026766006421330184,0.002154,0.01,0.0,0.97,100,10,1,11
122,0.9123001477898697,-4.8989114088951204,-1.2355609789376052,-0.6116305596974216,-0.17519712396348383,-0.324623149214885,-0.02685944080967228,0.00214,0.01,0.0,0.97,100,10,1,11
123,0.9147342550950462,-4.901180298121513,-1.237109621204051,-0.6127720710341914,-0.17552328962575625,-0.3253271523473847,-0.026958746578601832,0.002127,0.01,0.0,0.97,100,11,1,12
124,0.9082328440428605,-4.910648688040856,-1.241984265454391,-0.6152057648870687,-0.17620468998648325,-0.3266391798267638,-0.02704721257796637,0.002113,0.01,0.0,0.97,100,10,1,11
125,0.9037938074174889,-4.920709500917755,-1.2472705394472157,-0.6178949942361952,-0.17691101318977467,-0.3281028772002253,-0.027157239761486898,0.0021,0.01,0.0,0.97,100,11,1,12
126,0.8982686165742142,-4.931228354493267,-1.252700452584354,-0.6206048961340994,-0.17766185449661098,-0.3295383408735441,-0.02727578033066373,0.002087,0.01,0.0,0.97,100,10,1,11
127,0.9109405314213412,-4.940231130456672,-1.257343988430392,-0.6228749873719197,-0.17833998273394672,-0.33070511990359475,-0.027391507813692238,0.002074,0.01,0.0,0.97,100,10,1,11
128,0.90719497737481,-4.9496215772674095,-1.262142976114927,-0.6252797185396769,-0.17899582748765572,-0.3320137041096919,-0.02748112548039902,0.002061,0.01,0.0,0.97,100,11,0,11
129,0.9057089062972801,-4.959105991487953,-1.2670967335012537,-0.6277438054037562,-0.17970991496494956,-0.3333357807340372,-0.027592577441070226,0.002048,0.01,0.0,0.97,100,10,1,11
130,0.9063022960037486,-4.9680088521058465,-1.2717120277152438,-0.6300485917768448,-0.18034054101873456,-0.33458684255758153,-0.02768653357379701,0.002035,0.01,0.0,0.97,100,11,1,12
131,0.9116293135311313,-4.976611065849912,-1.2760890315765934,-0.6321521896379002,-0.18102069789349157,-0.3357011687505265,-0.02779936923753828,0.002023,0.01,0.0,0.97,100,10,1,11
132,0.9099285917353713,-4.9854439698641135,-1.2806701368644955,-0.6343719100628633,-0.1817202959118359,-0.3368790911423482,-0.027913413601803338,0.002011,0.01,0.0,0.97,100,10,1,11
133,0.9121826897110451,-4.993843384402787,-1.2849636065882886,-0.6364731310148724,-0.18233042871057062,-0.33796071883940826,-0.028018834206962228,0.001999,0.01,0.0,0.97,100,10,1,11
134,0.9092437831227069,-5.002461304611526,-1.2894306977620538,-0.6387175661634535,-0.18297126474536354,-0.3391750644156134,-0.028107416765809634,0.001987,0.01,0.0,0.97,100,10,1,11
135,0.9033769999831402,-5.0118170453235455,-1.29423191443992,-0.6410876495276153,-0.18367763400143394,-0.3404363940556065,-0.028228756378665797,0.001975,0.01,0.0,0.97,100,10,1,11
136,0.9142176197109817,-5.019882498176591,-1.2983377093613324,-0.6430597783077382,-0.18430528811763844,-0.34143679231379753,-0.02832320539550434,0.001963,0.01,0.0,0.97,100,10,1,11
137,0.9114922404854584,-5.026969026350557,-1.3020711493527073,-0.6449180103189375,-0.18489123497386445,-0.34240409823764184,-0.028417484882987173,0.001952,0.01,0.0,0.97,100,11,1,12
138,0.9054335066241824,-5.035917719904975,-1.3066695096597731,-0.6471847822035011,-0.18554849941952356,-0.3435935179438982,-0.028508085585299697,0.00194,0.01,0.0,0.97,100,10,1,11
139,0.9085791151853329,-5.044556661627338,-1.3111581058734059,-0.649456678941584,-0.18615592589204294,-0.3447995452049799,-0.028596517411470908,0.001929,0.01,0.0,0.97,100,10,1,11
140,0.9117805362128705,-5.052683963557522,-1.315289122334972,-0.6514561883094289,-0.18676707039674026,-0.34586753832722206,-0.028699840393264654,0.001918,0.01,0.0,0.97,100,10,1,11
141,0.9148231018993624,-5.060428653065818,-1.3193111466446028,-0.6533823564948322,-0.18741988265817985,-0.3468852664981608,-0.028824428566515358,0.001907,0.01,0.0,0.97,100,10,1,11
142,0.9064895076809799,-5.068384724497529,-1.3233983306952815,-0.6555443576558976,-0.18792491904760153,-0.3480606494446797,-0.028877195190788955,0.001896,0.01,0.0,0.97,100,11,1,12
143,0.9072644513730264,-5.076988076391894,-1.3278050757271966,-0.6577015607260553,-0.1885597084045663,-0.34919741433964746,-0.02897164280945897,0.001885,0.01,0.0,0.97,100,10,1,11
144,0.9166344066113477,-5.084388926379666,-1.3315660231771551,-0.6594826484881571,-0.1891360236778776,-0.35009591414856245,-0.029065006359502526,0.001875,0.01,0.0,0.97,100,10,1,11
