episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
41,0.9116287668700315,-3.6889671329779463,-0.5970633935389853,-0.2914795397612594,-0.08395409554260987,0.004476,0.01,0.0,0.97,100,13,1,14
42,0.9129603541960153,-3.7085396585815658,-0.6067861403643278,-0.2963676709865755,-0.08525254460642956,0.004417,0.01,0.0,0.97,100,14,1,15
43,0.9209147609147609,-3.725290348704998,-0.6151183143673364,-0.30039400142058514,-0.0864697678550831,0.004359,0.01,0.0,0.97,100,14,1,15
44,0.9133533446246206,-3.7444269189361603,-0.6247404367016259,-0.30521778813350225,-0.08775579613406086,0.004302,0.01,0.0,0.97,100,14,1,15
45,0.9156875946810301,-3.7625483031419087,-0.634052275093587,-0.3096568861081526,-0.08920001446995407,0.004247,0.01,0.0,0.97,100,13,1,14
46,0.9203551706195344,-3.7794035168438507,-0.6423241390841127,-0.31366498757082534,-0.09029335502685776,0.004194,0.01,0.0,0.97,100,13,1,14
47,0.9198657718120805,-3.7931579790969807,-0.649370633920083,-0.31720342684855896,-0.09141750806044253,0.004141,0.01,0.0,0.97,100,14,1,15
48,0.9213505560819909,-3.8095844509937407,-0.6575998333777106,-0.32125046540697155,-0.09255720766431616,0.00409,0.01,0.0,0.97,100,14,1,15
49,0.9183343440468971,-3.826173357743952,-0.6659256545233271,-0.3252689879787952,-0.09381128409479447,0.004041,0.01,0.0,0.97,100,13,1,14
50,0.9225309574146784,-3.8416366721668123,-0.6735693000434867,-0.3289208927274783,-0.09488739820152248,0.003992,0.01,0.0,0.97,100,13,1,14
51,0.9164898811327744,-3.8582256716377037,-0.6818818100134683,-0.3329009158785127,-0.09616653749315132,0.003945,0.01,0.0,0.97,100,14,0,14
52,0.9148747320471597,-3.875003236400732,-0.6902671721059601,-0.33674671175291504,-0.09755704163327063,0.003898,0.01,0.0,0.97,100,13,1,14
53,0.9137422984195017,-3.8923417606785824,-0.6987635837443663,-0.3409174220177122,-0.09864827274110845,0.003853,0.01,0.0,0.97,100,14,1,15
54,0.9156739706721251,-3.9085453801232437,-0.706962341485801,-0.34497760492153123,-0.0997268450508405,0.003809,0.01,0.0,0.97,100,13,1,14
55,0.9193556489559437,-3.9233720995151296,-0.7144288874389758,-0.3485320064660664,-0.10085593439421128,0.003766,0.01,0.0,0.97,100,14,1,15
56,0.9240776895112428,-3.937324763921938,-0.7214313785650002,-0.3518669150875998,-0.10187812346255797,0.003724,0.01,0.0,0.97,100,13,1,14
57,0.9200248297151293,-3.951934597381992,-0.7286973217484515,-0.3554966093613767,-0.10279966238703325,0.003682,0.01,0.0,0.97,100,14,1,15
58,0.9224148075920852,-3.965971621939487,-0.7355893086954879,-0.3587333852218794,-0.10384976612774306,0.003642,0.01,0.0,0.97,100,13,1,14
59,0.9154648924313553,-3.9812393490395257,-0.7431663727729035,-0.36244038130565565,-0.10484900879423775,0.003602,0.01,0.0,0.97,100,14,1,15
60,0.9182144186203863,-3.9958826549424584,-0.7503977264366285,-0.365996149917346,-0.10578036577011544,0.003564,0.01,0.0,0.97,100,14,1,15
61,0.9238060151383214,-4.008286550951301,-0.7567055278984572,-0.3690030021373151,-0.10675450294339645,0.003526,0.01,0.0,0.97,100,14,1,15
62,0.9128067691477886,-4.023743230066276,-0.764462486622029,-0.3729390340685936,-0.10776961836429685,0.003489,0.01,0.0,0.97,100,14,1,15
63,0.9133230624958135,-4.03872138475297,-0.7719263286097765,-0.3767011837453384,-0.10873960179043426,0.003453,0.01,0.0,0.97,100,14,1,15
64,0.9209711694526714,-4.052223220432595,-0.7785560842739682,-0.3798260917990954,-0.10968908831438728,0.003417,0.01,0.0,0.97,100,14,1,15
65,0.9123825876174124,-4.065818373390737,-0.7854208069615015,-0.3832911639551085,-0.11068404190179443,0.003382,0.01,0.0,0.97,100,14,1,15
66,0.9180812303766014,-4.07970227624648,-0.7923891467376006,-0.386799111056781,-0.11157916287234346,0.003348,0.01,0.0,0.97,100,14,1,15
67,0.9105328878539367,-4.09497679583854,-0.8000553856937747,-0.3904930287608219,-0.11274742957627301,0.003315,0.01,0.0,0.97,100,14,1,15
68,0.9155078066167981,-4.1088900868844815,-0.8070692007133369,-0.3938016071050902,-0.11382731051850642,0.003282,0.01,0.0,0.97,100,13,1,14
69,0.9221866246204942,-4.121386698197822,-0.8132194235976965,-0.3967664338171953,-0.11468431372695098,0.00325,0.01,0.0,0.97,100,13,1,14
70,0.916711590296496,-4.1347377546404,-0.8198709479416701,-0.3999135688507149,-0.1156318419348433,0.003219,0.01,0.0,0.97,100,14,1,15
71,0.9185714046850704,-4.147656172562785,-0.8262870489970229,-0.4030309935215793,-0.11652183511595306,0.003188,0.01,0.0,0.97,100,13,1,14
72,0.914455810833473,-4.16039326155325,-0.8326961626030257,-0.4062525192687542,-0.11739470583109216,0.003157,0.01,0.0,0.97,100,14,1,15
73,0.916934365806648,-4.172912661005458,-0.83893316085689,-0.4093945683290224,-0.1182239023930783,0.003128,0.01,0.0,0.97,100,14,1,15
74,0.9164030423369456,-4.185310923351465,-0.8451205539839572,-0.41240125814233397,-0.11909545435733458,0.003098,0.01,0.0,0.97,100,14,1,15
75,0.915878697825206,-4.196650743292276,-0.8508478157204269,-0.41538255303932253,-0.11985057440421779,0.00307,0.01,0.0,0.97,100,14,1,15
76,0.9189916418613255,-4.209065116181755,-0.8570655582326945,-0.41838750338261227,-0.12075058548867007,0.003042,0.01,0.0,0.97,100,14,1,15
77,0.9175266339378152,-4.216958992115046,-0.8615597954712781,-0.42076410334891173,-0.12144615265336836,0.003014,0.01,0.0,0.97,100,14,1,15
78,0.917498068460479,-4.228747755334658,-0.8674159287917844,-0.42363939233582093,-0.12232554394800148,0.002987,0.01,0.0,0.97,100,14,1,15
79,0.9150997925946075,-4.24111687349999,-0.8736626560734805,-0.4267337424026969,-0.12317564758538027,0.00296,0.01,0.0,0.97,100,13,1,14
80,0.9156072082360647,-4.253491849559218,-0.8798049588046054,-0.4297182500358523,-0.12399987903946173,0.002934,0.01,0.0,0.97,100,14,1,15
81,0.9183632433519329,-4.26466206979444,-0.8855327552710336,-0.4325394216672232,-0.12483792353049587,0.002909,0.01,0.0,0.97,100,14,1,15
82,0.9175740821899336,-4.276219729546895,-0.8913435082140885,-0.4353782799573969,-0.1257172078290128,0.002883,0.01,0.0,0.97,100,14,1,15
83,0.9208490014205732,-4.286920156477318,-0.8967005768746957,-0.4379659575538912,-0.12650174671571732,0.002859,0.01,0.0,0.97,100,14,1,15
84,0.9239772917014527,-4.297436123414428,-0.9019099961811451,-0.4405198311101745,-0.12718783455158547,0.002834,0.01,0.0,0.97,100,14,0,14
85,0.9136571050533494,-4.309376092997785,-0.9078841504913212,-0.44342054027284855,-0.12801710375072592,0.00281,0.01,0.0,0.97,100,13,1,14
86,0.9179265292271146,-4.318281321874014,-0.9122870389932163,-0.44573826237944875,-0.12858123075841707,0.002787,0.01,0.0,0.97,100,14,1,15
87,0.9167843928691557,-4.3294693014483805,-0.9178454252105719,-0.44843712290631244,-0.12937822999665105,0.002763,0.01,0.0,0.97,100,14,1,15
88,0.9162764249397912,-4.34018478137304,-0.9231581495185058,-0.45107842248822316,-0.1301314858172125,0.002741,0.01,0.0,0.97,100,14,1,15
89,0.9132983125855109,-4.352086202719549,-0.9290582731693966,-0.4540007119644723,-0.13095421352625078,0.002718,0.01,0.0,0.97,100,13,1,14
90,0.9192385540556364,-4.362616739049179,-0.9342720294776017,-0.45656370606004293,-0.13170238894446226,0.002696,0.01,0.0,0.97,100,14,1,15
91,0.9217305600870038,-4.372631154532517,-0.9392632986313306,-0.45891759718209313,-0.13244284573853718,0.002674,0.01,0.0,0.97,100,14,0,14
92,0.9223027920845758,-4.382072066537451,-0.9440036345227132,-0.4611198227901494,-0.13319625415884065,0.002653,0.01,0.0,0.97,100,14,1,15
93,0.9129423964675185,-4.393521255760237,-0.949754871847402,-0.4640009008253794,-0.1339221057040666,0.002632,0.01,0.0,0.97,100,14,1,15
94,0.916923076923077,-4.403782058869356,-0.954914020389475,-0.4664691929884579,-0.13468321376159745,0.002611,0.01,0.0,0.97,100,14,1,15
95,0.9141823078865415,-4.414689342204297,-0.9604518744592183,-0.4692201268864325,-0.1354012115893883,0.002591,0.01,0.0,0.97,100,14,1,15
96,0.9152252937695494,-4.415375339567472,-0.961142248111336,-0.47027604551357366,-0.13566144115726766,0.002571,0.01,0.0,0.97,100,14,1,15
97,0.922753847187689,-4.424041221240535,-0.9655706221896966,-0.4724632683500648,-0.1362948731391736,0.002551,0.01,0.0,0.97,100,14,1,15
98,0.9170346896807471,-4.4343250834143015,-0.9707605169430134,-0.47501043236439927,-0.1369852994429622,0.002532,0.01,0.0,0.97,100,14,1,15
99,0.9199391899970961,-4.443628343668826,-0.975482501485577,-0.477310704618408,-0.137671806235839,0.002513,0.01,0.0,0.97,100,14,1,15
100,0.9102264377797075,-4.454748319218569,-0.9810353569702411,-0.4800965847542981,-0.13844127732912287,0.002494,0.01,0.0,0.97,100,14,1,15
101,0.9189376404399466,-4.463663754008853,-0.9853951577766783,-0.4823315289963688,-0.13901205229850505,0.002475,0.01,0.0,0.97,100,14,1,15
102,0.919323728216568,-4.472269013406045,-0.9895683530763809,-0.48439242352522793,-0.13963421005801327,0.002457,0.01,0.0,0.97,100,14,1,15
103,0.9278287668913198,-4.480430955509394,-0.9936083635860715,-0.48638238896576835,-0.14016068387056121,0.002439,0.01,0.0,0.97,100,14,1,15
104,0.9130755682294724,-4.4903374676304955,-0.9985671034229419,-0.4888750887850939,-0.14083480845185395,0.002421,0.01,0.0,0.97,100,14,1,15
105,0.9170864714782118,-4.497981585105168,-1.0025039641264117,-0.49087148580139883,-0.1414206140019744,0.002404,0.01,0.0,0.97,100,14,1,15
106,0.91652118444907,-4.507518189896148,-1.00733699173202,-0.49324287742948475,-0.1420804584505295,0.002386,0.01,0.0,0.97,100,14,1,15
107,0.9104092976250632,-4.517612474619232,-1.0124949595514825,-0.49582199901083746,-0.14281590065368446,0.002369,0.01,0.0,0.97,100,14,1,15
108,0.9154199846733082,-4.527481273909778,-1.0173987967770173,-0.4983029528914111,-0.14343016239676618,0.002352,0.01,0.0,0.97,100,14,1,15
109,0.913303036909094,-4.536660075575815,-1.0220606144372493,-0.5006685843114907,-0.14405764537284663,0.002336,0.01,0.0,0.97,100,14,1,15
110,0.918942701458693,-4.545641239063551,-1.0264842424290368,-0.5028126986092226,-0.14463381992483285,0.00232,0.01,0.0,0.97,100,14,1,15
111,0.9176015342577349,-4.552581259134747,-1.030045539394811,-0.5046498213380898,-0.14515523425835375,0.002304,0.01,0.0,0.97,100,14,1,15
112,0.914684652703822,-4.561863878428426,-1.0347014604275944,-0.5070341906327356,-0.145739175585018,0.002288,0.01,0.0,0.97,100,14,1,15
113,0.9117742458644178,-4.5715744788011765,-1.0395903512862545,-0.5094687459467676,-0.14637526173641796,0.002272,0.01,0.0,0.97,100,14,1,15
114,0.9131587336207909,-4.581203123601526,-1.0445146008455812,-0.5119625534734571,-0.14702497907700177,0.002257,0.01,0.0,0.97,100,14,1,15
115,0.9096286781482921,-4.591143457670279,-1.0495467264600886,-0.514538238448265,-0.14759918465788566,0.002241,0.01,0.0,0.97,100,14,1,15
116,0.9225228898061798,-4.598856872130046,-1.0533644907353568,-0.5163859796534924,-0.14815118319139928,0.002226,0.01,0.0,0.97,100,14,1,15
117,0.9175818690095847,-4.607773628417895,-1.057839253552477,-0.5185619485641418,-0.14882760772486053,0.002212,0.01,0.0,0.97,100,13,1,14
118,0.9095503542765035,-4.617575547582697,-1.0628773768171709,-0.5210873307560284,-0.1494938896254607,0.002197,0.01,0.0,0.97,100,13,1,14
119,0.9183728043053164,-4.626107242205939,-1.0672202953382948,-0.5232073318964564,-0.15009390811980827,0.002182,0.01,0.0,0.97,100,14,1,15
120,0.92449284359951,-4.632251737094815,-1.0703985033768342,-0.5248787248442216,-0.15054231088667375,0.002168,0.01,0.0,0.97,100,14,1,15
121,0.9199549041713642,-4.6405390806815054,-1.07448449315729,-0.5269109449533029,-0.1510563720128181,0.002154,0.01,0.0,0.97,100,14,1,15
122,0.9145075533800321,-4.649346740400935,-1.0789259624652234,-0.5291647056045682,-0.15164331931771624,0.00214,0.01,0.0,0.97,100,14,1,15
123,0.9185406878563427,-4.657697356749485,-1.0831391323413664,-0.5312164189274075,-0.1522284500552002,0.002127,0.01,0.0,0.97,100,14,1,15
124,0.9063247632846986,-4.667467698196993,-1.0880423313037488,-0.5338017088976791,-0.15278962509854405,0.002113,0.01,0.0,0.97,100,14,1,15
125,0.9229620579651123,-4.67466334897318,-1.091622509132759,-0.5355516538806414,-0.15332912479407745,0.0021,0.01,0.0,0.97,100,14,1,15
126,0.9187770280502785,-4.68275533979739,-1.0956835157319955,-0.5375635080834905,-0.15389545313542072,0.002087,0.01,0.0,0.97,100,14,1,15
127,0.9233079661846346,-4.690066079736192,-1.0993406072050924,-0.5393842028795162,-0.1543766858772035,0.002074,0.01,0.0,0.97,100,14,1,15
128,0.9226772258700483,-4.697502106748241,-1.1030770933527714,-0.5412125006695317,-0.15493952382947046,0.002061,0.01,0.0,0.97,100,14,1,15
129,0.9136041155307488,-4.706133307804619,-1.10738246028743,-0.5433263905774718,-0.15552242031679134,0.002048,0.01,0.0,0.97,100,13,1,14
130,0.9186484360617877,-4.7141064719156995,-1.1113877016361613,-0.545276218715737,-0.15610799406750953,0.002035,0.01,0.0,0.97,100,14,1,15
131,0.9198874075072898,-4.721910519652822,-1.1153184936177365,-0.5472162283219617,-0.15666211357115445,0.002023,0.01,0.0,0.97,100,13,1,14
132,0.919031467239816,-4.729073148174676,-1.1189946246491818,-0.5490879823563398,-0.1571707259124635,0.002011,0.01,0.0,0.97,100,14,1,15
133,0.9216281895504252,-4.736496863394316,-1.1227142448198912,-0.5509278058799386,-0.15772336833556885,0.001999,0.01,0.0,0.97,100,13,1,14
134,0.9227945550022942,-4.7433342939357,-1.1261241341216084,-0.5526406008668501,-0.1581782756136038,0.001987,0.01,0.0,0.97,100,14,1,15
