feature,corr_reward,corr_td_target,corr_td_error,corr_future_starvation,corr_future_congestion,corr_future_broken_fleet_ratio
rebalancing_imbalance,-0.003557467757759985,-0.00469390047502477,-0.004693928239937186,0.0038873500325854755,0.0027814806151183406,-0.18754544526834743
squared_starvation_penalty,-0.04164411450568694,-0.014080299878551519,-0.014079856352664056,0.042524288436878215,0.0394677212103207,0.05839422769129477
squared_congestion_penalty,0.010507339146712074,0.002105505763331017,0.002105022015523604,-0.011132008909268283,-0.009025493284902665,-0.3733132113137588
starvation_severity_max,-0.03564569862007936,-0.02427694696854701,-0.024276902101720035,0.03673905227698226,0.03299518043708331,0.0002406006478846834
congestion_severity_max,0.0020060465311108884,0.008267883301207108,0.008267372221185608,-0.0027032210406133335,-0.000384236156501251,-0.34099561241794063
starvation_count,-0.032016790961343855,-0.009311581166222684,-0.009311344647995795,0.033464393010315646,0.028557514897777504,-0.03802005758688086
congestion_count,-0.0018200050706104686,0.009603744992670417,0.009603462150577816,0.0008513222312289353,0.004058233163162271,-0.31758310241762766
gross_starvation_risk,-0.03019149978932762,-0.009581273085441192,-0.009581404330954679,0.03130655137989506,0.027508684677760298,-0.013755916253826519
gross_congestion_risk,-0.030029782927907672,-0.009523766840233353,-0.00952358258538184,0.030462577467587678,0.028928140370009105,-0.0687884721059429
net_starvation_shortfall,-0.01708761152755045,-0.005862298821843625,-0.005862403717042604,0.01780394327880532,0.015371721979325119,-0.055029686403880326
net_congestion_shortfall,-0.023495804369890565,-0.007894324916230584,-0.007893856368022053,0.02283724042735272,0.02494413006159114,-0.14342841927987368
