,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,starvation_severity_max,congestion_severity_max,starvation_count,congestion_count,gross_starvation_risk,gross_congestion_risk,net_starvation_shortfall,net_congestion_shortfall
rebalancing_imbalance,1.0,0.4004517684507175,0.7869859209156368,0.23930336860201074,0.6172660775615996,0.49693852758457785,0.5635004367581211,0.07294938135590874,0.04465635604735744,0.28018585024082365,0.3376810185482598
squared_starvation_penalty,0.4004517684507175,1.0,0.1100235074363193,0.7065297893309614,0.23282024400920662,0.8028503121449341,0.2543016615039259,0.29520162214981005,0.3706998029581462,0.12726597350948515,0.3958936721334716
squared_congestion_penalty,0.7869859209156368,0.1100235074363193,1.0,0.09839577236832825,0.8348585518817908,0.3124129255628915,0.76120308807061,0.015620351896117903,-0.006507954719609572,0.33002116161632683,0.3759498365625134
starvation_severity_max,0.23930336860201074,0.7065297893309614,0.09839577236832825,1.0,0.1957457561731996,0.7241613258946445,0.1791008051426322,0.22822294028079917,0.2522859381085746,0.16810708489444603,0.2716386360061902
congestion_severity_max,0.6172660775615996,0.23282024400920662,0.8348585518817908,0.1957457561731996,1.0,0.33897782642689944,0.7931081003364318,0.0737158640294973,0.09140699030919223,0.27256165451565606,0.4309685426850438
starvation_count,0.49693852758457785,0.8028503121449341,0.3124129255628915,0.7241613258946445,0.33897782642689944,1.0,0.3518423554497247,0.2351093854762925,0.23839261146356222,0.2693850678725309,0.3716949085614801
congestion_count,0.5635004367581211,0.2543016615039259,0.76120308807061,0.1791008051426322,0.7931081003364318,0.3518423554497247,1.0,0.06531429546820765,0.06868310701197564,0.254534297461806,0.420658778155208
gross_starvation_risk,0.07294938135590874,0.29520162214981005,0.015620351896117903,0.22822294028079917,0.0737158640294973,0.2351093854762925,0.06531429546820765,1.0,0.7634585707177987,0.6972871498031127,0.356992137585267
gross_congestion_risk,0.04465635604735744,0.3706998029581462,-0.006507954719609572,0.2522859381085746,0.09140699030919223,0.23839261146356222,0.06868310701197564,0.7634585707177987,1.0,0.3210542397554879,0.6393954634207064
net_starvation_shortfall,0.28018585024082365,0.12726597350948515,0.33002116161632683,0.16810708489444603,0.27256165451565606,0.2693850678725309,0.254534297461806,0.6972871498031127,0.3210542397554879,1.0,0.2725120483497265
net_congestion_shortfall,0.3376810185482598,0.3958936721334716,0.3759498365625134,0.2716386360061902,0.4309685426850438,0.3716949085614801,0.420658778155208,0.356992137585267,0.6393954634207064,0.2725120483497265,1.0
