,family,high_means,expected_sign,priority,count,mean,std,min,p01,p05,p25,p50,p75,p95,p99,max,fraction_zero,p99_abs,near_constant,sparse,poor_scaling,max_abs_target_corr,weak_signal,vif,vif_flag,vif_serious,recommendation_flag
rebalancing_imbalance,current_imbalance,total deviation from target inventory,negative,high,471215.0,0.5185571908950806,0.07113004475831985,0.3168697953224182,0.38742783665657043,0.42078256607055664,0.4682488739490509,0.5105836987495422,0.5567671656608582,0.6516997814178467,0.7350866198539734,0.9146888852119446,0.0,0.7350866198539734,False,False,False,0.18754544526834743,False,4.257810963415229,False,False,
squared_starvation_penalty,current_imbalance,mean squared shortage depth,negative,high,471215.0,0.20607657730579376,0.04376600682735443,0.02241232991218567,0.08526461571455002,0.1280042827129364,0.18054412305355072,0.2089531272649765,0.23543250560760498,0.2734626531600952,0.2974850833415985,0.3573313355445862,0.0,0.2974850833415985,False,False,False,0.05839422769129477,False,4.779377020507904,False,False,
squared_congestion_penalty,current_imbalance,mean squared excess inventory depth,negative,high,471215.0,0.11772283166646957,0.032460398972034454,0.030045563355088234,0.05642109736800194,0.07017586380243301,0.0948280617594719,0.1142132505774498,0.1375894919037819,0.17620812356472015,0.20411385595798492,0.3738968074321747,0.0,0.20411385595798492,False,False,False,0.3733132113137588,False,9.083691709590838,False,False,
starvation_severity_max,current_imbalance,severe shortage at the worst stations,negative,medium,471215.0,0.9562501311302185,0.06492196768522263,0.3025641143321991,0.7250000238418579,0.8307692408561707,0.9188811182975769,1.0,1.0,1.0,1.0,1.0,0.0,1.0,False,False,False,0.03673905227698226,False,2.4257880237772462,False,False,
congestion_severity_max,current_imbalance,severe congestion at the worst stations,negative,medium,471215.0,0.7974926233291626,0.1062302216887474,0.36964285373687744,0.5433566570281982,0.6107692122459412,0.7250000238418579,0.8034964799880981,0.875,0.9769230484962463,1.0,1.0,0.0,1.0,False,False,False,0.34099561241794063,False,4.492274757017988,False,False,
starvation_count,current_imbalance,many stations are nearly empty,negative,medium,471215.0,0.10050436109304428,0.042261507362127304,0.0,0.014925372786819935,0.02985074557363987,0.0746268630027771,0.10447761416435242,0.13432836532592773,0.17910447716712952,0.20895522832870483,0.28358209133148193,0.002631495177360653,0.20895522832870483,False,False,False,0.03802005758688086,False,4.181762878210161,False,False,
congestion_count,current_imbalance,many stations are nearly full,negative,medium,471215.0,0.0359034389257431,0.027415618300437927,0.0,0.0,0.0,0.014925372786819935,0.02985074557363987,0.04477611929178238,0.08955223858356476,0.11940298229455948,0.2238806039094925,0.12720308139596576,0.11940298229455948,False,False,False,0.31758310241762766,False,3.285358810722307,False,False,
gross_starvation_risk,future_imbalance,expected departures exceed available bikes,negative,high,471215.0,0.1528574675321579,0.08300099521875381,0.0008274591527879238,0.02159267019480467,0.039743125811219214,0.09153376519680023,0.1373722404241562,0.20209457725286484,0.31003017425537105,0.3760208147764206,0.5773310661315918,0.0,0.3760208147764206,False,False,False,0.03130655137989506,False,7.429880247684986,False,False,
gross_congestion_risk,future_imbalance,expected arrivals exceed free docks,negative,high,471215.0,0.11258392035961151,0.0646808072924614,0.0012711933813989162,0.017420375309884547,0.029287949204444885,0.06566688045859337,0.10024917125701904,0.14259358495473862,0.24409370720386503,0.29118488192558284,0.4252912402153015,0.0,0.29118488192558284,False,False,False,0.0687884721059429,False,6.1709034553072035,False,False,
net_starvation_shortfall,future_imbalance,net demand creates future shortage,negative,medium,471215.0,0.050473328679800034,0.027725521475076675,0.0,0.007729075094684959,0.01467171125113964,0.03056693635880947,0.045538559556007385,0.06425067409873009,0.10429229959845542,0.13617329895496366,0.22955124080181122,4.244347060259118e-06,0.13617329895496366,False,False,False,0.055029686403880326,False,3.6435405557604907,False,False,
net_congestion_shortfall,future_imbalance,net demand creates future congestion,negative,medium,471215.0,0.027551010251045227,0.014137323014438152,0.0,0.0035791934933513403,0.00814841389656067,0.01726678851991892,0.02556927129626274,0.03580443933606148,0.053511995077133175,0.06948889762163155,0.13840626180171967,0.0001803847500610125,0.06948889762163155,False,False,False,0.14342841927987368,False,2.9337301137378566,False,False,
